FoodID,processed_description
F1,gạo nếp đậu xanh vừng đậu phộng xôi gạo nếp hấp chín hơi chủ yếu giúp no kèm lạc vừng dừa hương vị béo thơm 
F2, mìnước lèo thịt tôm cá trứng  đậu phộng bánh tráng ớt chanh hành tỏi rau thơm gốc quảng nam mì quảng món mì sợi món vị thịt thơm rau mùi đậu phộng rang sợi mì mềm kết hợp lèo béo cảm giác thỏa mãn
F3,bánh phở lèo thịt bò trứng chần hành lá tương tiêu chanh mắm ớt món nổi tiếng ưu cảm giác ngon lèo đặc biệt bánh phở mềm thịt bò món béo thể kèm hành tây rau mùi hương thơm
F4,gạo thịt sườn heo mỡ hành trứng chiên rau chua  hạt cơm mềm kèm thịt sườn nướng thơm béo mỡ hành mắm dịu kèm cơm ngon vị cay mắm ớt mặn
F5,miến dong thịt gà nấm rau thơm miến gà vị thịt gà hương thơm tỏa rau thơm sợi miến mềm tan miệng đậm vị gà
F6,bánh phở lèo thịt gà hành lá ớt món nổi tiếng ưu cảm giác ngon lèo đặc biệt bánh phở mềm thịt gà dai thơm thể kèm hành tây rau mùi hương thơm
F7,bún đậu chả cốm nem dưa leo rau thơm mắm tôm mắm tôm vị đặc biệt mặn cay dịu thơm mùi tôm ủ chấm bún đậu cảm giác mềm thơm mùi mắm béo món chiên dầu
F8,bún thịt bò thịt heo huyết bò dầu hành lá sả ớt bún bò vị cay ớt sa tế thơm rau thơm sả gừng mắm ruốc béo chân giò heo hầm thịt bò dai 
F9,bún riêu cua thịt heo đậu cà chua huyết heo chả bún riêu béo xương hầm vị chua mặn gia vị thịt heo riêu cua huyết béo mềm tan chả giò béo dai 
F10,bánh mì thịt heo rau thơm đồ chua pate ớt bánh mì kẹp thịt rau thơm đồ chua vị béo thịt thơm rau cay ớt vỏ bánh mì giòn giúp độ béo cảm giác ngán thịt
F11,trứng  bánh mì bột mì men rau đồ chua patê bánh mì ốp la 1 món đơn sơ cầu kỳ ưa âu 1 bữa bao dưỡng chất thiết thể nạp năng 1
F12,bột gạo ruốc tôm bánh bèo món bánh thịnh hành miền trung phổ biến miền nam việt nam bánh bèo kết hợp 3 yếu tố bánh bột gạo nhân rắc bánh tôm xay nhuyễn chấm chấm bánh bèo hỗn hợp thành mắm đổ trực tiếp bánh chấm món bánh bèo trở hấp mùi vị mỡ hành đậu phộng rang giã
F13,sợi bánh canh bột lọc chả cá chiên chả cá dầm cá rau hành lá bánh canh chả cá món độc biển quy nhơn nha trang hương vị món xương cá gia vị nêm nếm sợi bánh canh mềm mềm chả cá dai ngon chút mắm rau kèm sẩy
F14,bột mì nhân bánh thịt mộc nhĩ bánh bao món bình dân ngon việt nam bánh bao món tâm tiện lợi ta thể mua bánh bao vỉa hè chợ quán dọc đường vẻ bánh bao việt nét tương đối bánh bao trung quốc kích cỡ nhân khácthông nhân bánh thịt heo nạc lẫn mỡ xay nấm mèo miến trứng cút
F15,thịt nạc dăm bún tươi hành lá đậu phộng cà rốt củ chua gia vị rau bún thịt nướng món phổ biến yêu 3 miền đất hương vị đặc trưng tùy khẩu vị miền bắc trung nam món bún thể tâm bữa bữa phù hợp ngon hấp yêu cầu món bún thịt nướng thịt nướng vàng vị đậm đà hương thơm sả vừng mắm chua rau kèm đa dạng
F16,mắm cá linh mắm cá sặc tôm mực thịt lợn xả ớt tỏi cà tím rau sống gia vị bún mắm món đặc sản miền tây nam việt nam bún mắm gốc campuchia nấu mắm bù hốc việt nam nấu mắm cá linh cá sặc cá miền tây đặc biệt tỉnh trà vinh sóc trăng nét đặc trưng bún mắm mắm cá linh cá sặc tùy nêm nếm món bún mùi thơm đậm đà bún mắm rau muống chẻ cọng súng rau đắng bắp chuối kèo nèo giá rau diếp cá dấp cá
F17,giò heo xương heo bún sả hành tỏi gia vị rau kèm bún giò heo vắt đậm đà thơm ngon chân giò nấu mềm nhừ màu sắc bắt mắt màu kết hợp hương thơm nồng nàn đặc trưng sả cực thu hút
F18,bánh heo tim non bao tử gan tỏi ớt chanh gừng giấm rau sống gia vị bánh cháo đặc sản quy nhơn món tuyệt ngon kết hợp hài hòa bánh thơm ngon cháo nóng hổi hương vị thơm ngon đặc sắc xứ nẫu
F19,bột gạo thịt lợn xay mộc nhĩ hẹ tây bánh bột gạo mỏng rộng men hỗn hợp thịt lợn xay ướp gia vị mộc nhĩ băm hành tím băm món chả lụa  dưa leo thái mỏng giá đỗ chấm mắm chấm miếng cơm bánh cực kỳ mỏng tinh tế hấp chút bột gạo men miếng vải trải nồi sôi món nhẹ khắp đất việt nam 
F20,bánh hủ tiếu giò heo xương heo củ cải đỏ củ cải trắng rau gia vị hủ tiếu món phổ biến việt nam thể món khô tuỳ sở hương vị 
F21,thịt gà trứng gà cơm mỡ hành dưa leo rau cơm gà xối mỡ món quen dân thành phố hồ chí minh món mặt chế biến xối mỡ nghĩa gà vỉ nướng rưới mỡ liên tục gà chín mỡ ngán
F22,mì tôm ớt thịt hải sản xúc xích rau nấm kèm mì cay mì liền sợi to dai sản xuất việt nam công nghệ hàn quốc bật hương vị chua chua cay cay tương canh kim chi đặc biệt độ cay độ thương hiệu món mì cay
F23,bột bánh xèo tôm giá rau kèm bánh xèo tôm nhảy đặc sản nổi tiếng dân bình định bánh xèo tôm nhảy vị ngon nét độc đáo tôm bánh xèo kỹ tôm đánh bắt đêm hôm đầm tươi bột đúc bánh xèo hoàn toàn xay đúc bột giòn mắm kèm thể món ngon
F24,thịt bò bột năng củ bánh mì rau kèm bò kho món thông dụng thịt bò phương pháp kho phục vụ bữa món ưa gọi bò kho thức chế biến chủ đạo món hầm hình thức kho tẩm ướp săn thịt bò hầm
F25,gạo nội tạng heo ruột gan huyết dồi  cháo món cháo nấu phương thức nấu cháo thông kết hợp xương lợn luộc lợn nguyên liệu bát cháo thể món phủ tạng lợn luộc dồi 
F26,thịt cua bột năng trứng gà rau củ xúp cua món xúp chế biến nguyên liệu thịt cua trứng gà trứng cút xương gà nồi xúp vị bổ dưỡng hạt bắp
F27,thịt gà gạo nếp mật ong vị mật ong thấm miếng thịt gà kèm mùi thơm cơm dẻo tây nguyên gà nướng cơm lam đặc sản núi rừng nổi tiếng đồng bào tây nguyên
F28,thịt gà hoa chuối củ hành tây đậu phộng rau thơm gỏi gà món ưa chuộng ẩm thực việt nam đơn giản nguyên liệu đặc biệt dầu mỡ  thịt gà hấp thụ tiêu hóa bổ sung thịt gà khẩu hàng giúp thể nguy mắc bệnh ung thư trầm cảm vấn đề tim mạch sức đề kháng
F29,bột năng bột gạo thịt heo cà rốt nấm há cảo món gốc triều châu trung quốc món phổ biến bữa dimsum gọi há cảo tiếng quảng đông phát âm haa1 gaau2 phát âm há cảo tiếng việt đối ẩm thực philippines món bữa xế
F30,bao tử heo tai heo ruột non dừa phá lấu món quen xuất xứ trung quốc tỉnh thành miền nam việt nam đặc biệt sài gòn phá lấu lưỡi tai ruột bao tử heo bò vịt phá lấu kèm bánh mì cơm cháo
